SNR;MCS;TBS;rate;err0;trials0;err1;trials1;err2;trials2;err3;trials3;dci_err
-5;16;20496;2.5703;1500;1500;0;0;0;0;0;0;0
-4.9;16;20496;2.5703;1499;1500;0;0;0;0;0;0;0
-4.8;16;20496;2.5703;1498;1500;0;0;0;0;0;0;0
-4.7;16;20496;2.5703;1497;1500;0;0;0;0;0;0;0
-4.6;16;20496;2.5703;1496;1500;0;0;0;0;0;0;0
-4.5;16;20496;2.5703;1495;1500;0;0;0;0;0;0;0
-4.4;16;20496;2.5703;1494;1500;0;0;0;0;0;0;0
-4.3;16;20496;2.5703;1493;1500;0;0;0;0;0;0;0
-4.2;16;20496;2.5703;1492;1500;0;0;0;0;0;0;0
-4.1;16;20496;2.5703;1491;1500;0;0;0;0;0;0;0
-4;16;20496;2.5703;1490;1500;0;0;0;0;0;0;0
-3.9;16;20496;2.5703;1489;1500;0;0;0;0;0;0;0
-3.8;16;20496;2.5703;1488;1500;0;0;0;0;0;0;0
-3.7;16;20496;2.5703;1487;1500;0;0;0;0;0;0;0
-3.6;16;20496;2.5703;1486;1500;0;0;0;0;0;0;0
-3.5;16;20496;2.5703;1485;1500;0;0;0;0;0;0;0
-3.4;16;20496;2.5703;1484;1500;0;0;0;0;0;0;0
-3.3;16;20496;2.5703;1484;1500;0;0;0;0;0;0;0
-3.2;16;20496;2.5703;1483;1500;0;0;0;0;0;0;0
-3.1;16;20496;2.5703;1482;1500;0;0;0;0;0;0;0
-3;16;20496;2.5703;1481;1500;0;0;0;0;0;0;0
-2.9;16;20496;2.5703;1480;1500;0;0;0;0;0;0;0
-2.8;16;20496;2.5703;1479;1500;0;0;0;0;0;0;0
-2.7;16;20496;2.5703;1478;1500;0;0;0;0;0;0;0
-2.6;16;20496;2.5703;1477;1500;0;0;0;0;0;0;0
-2.5;16;20496;2.5703;1476;1500;0;0;0;0;0;0;0
-2.4;16;20496;2.5703;1475;1500;0;0;0;0;0;0;0
-2.3;16;20496;2.5703;1474;1500;0;0;0;0;0;0;0
-2.2;16;20496;2.5703;1473;1500;0;0;0;0;0;0;0
-2.1;16;20496;2.5703;1472;1500;0;0;0;0;0;0;0
-2;16;20496;2.5703;1471;1500;0;0;0;0;0;0;0
-1.9;16;20496;2.5703;1463;1500;0;0;0;0;0;0;0
-1.8;16;20496;2.5703;1455;1500;0;0;0;0;0;0;0
-1.7;16;20496;2.5703;1447;1500;0;0;0;0;0;0;0
-1.6;16;20496;2.5703;1439;1500;0;0;0;0;0;0;0
-1.5;16;20496;2.5703;1431;1500;0;0;0;0;0;0;0
-1.4;16;20496;2.5703;1423;1500;0;0;0;0;0;0;0
-1.3;16;20496;2.5703;1415;1500;0;0;0;0;0;0;0
-1.2;16;20496;2.5703;1407;1500;0;0;0;0;0;0;0
-1.1;16;20496;2.5703;1399;1500;0;0;0;0;0;0;0
-1;16;20496;2.5703;1391;1500;0;0;0;0;0;0;0
-0.9;16;20496;2.5703;1383;1500;0;0;0;0;0;0;0
-0.8;16;20496;2.5703;1376;1500;0;0;0;0;0;0;0
-0.7;16;20496;2.5703;1368;1500;0;0;0;0;0;0;0
-0.6;16;20496;2.5703;1360;1500;0;0;0;0;0;0;0
-0.5;16;20496;2.5703;1353;1500;0;0;0;0;0;0;0
-0.4;16;20496;2.5703;1345;1500;0;0;0;0;0;0;0
-0.3;16;20496;2.5703;1338;1500;0;0;0;0;0;0;0
-0.2;16;20496;2.5703;1330;1500;0;0;0;0;0;0;0
-0.1;16;20496;2.5703;1323;1500;0;0;0;0;0;0;0
0;16;20496;2.5703;1315;1500;0;0;0;0;0;0;0
0.1;16;20496;2.5703;1308;1500;0;0;0;0;0;0;0
0.2;16;20496;2.5703;1301;1500;0;0;0;0;0;0;0
0.3;16;20496;2.5703;1294;1500;0;0;0;0;0;0;0
0.4;16;20496;2.5703;1286;1500;0;0;0;0;0;0;0
0.5;16;20496;2.5703;1279;1500;0;0;0;0;0;0;0
0.6;16;20496;2.5703;1272;1500;0;0;0;0;0;0;0
0.7;16;20496;2.5703;1265;1500;0;0;0;0;0;0;0
0.8;16;20496;2.5703;1258;1500;0;0;0;0;0;0;0
0.9;16;20496;2.5703;1251;1500;0;0;0;0;0;0;0
1;16;20496;2.5703;1244;1500;0;0;0;0;0;0;0
1.1;16;20496;2.5703;1232;1500;0;0;0;0;0;0;0
1.2;16;20496;2.5703;1220;1500;0;0;0;0;0;0;0
1.3;16;20496;2.5703;1209;1500;0;0;0;0;0;0;0
1.4;16;20496;2.5703;1197;1500;0;0;0;0;0;0;0
1.5;16;20496;2.5703;1186;1500;0;0;0;0;0;0;0
1.6;16;20496;2.5703;1175;1500;0;0;0;0;0;0;0
1.7;16;20496;2.5703;1163;1500;0;0;0;0;0;0;0
1.8;16;20496;2.5703;1152;1500;0;0;0;0;0;0;0
1.9;16;20496;2.5703;1141;1500;0;0;0;0;0;0;0
2;16;20496;2.5703;1130;1500;0;0;0;0;0;0;0
2.1;16;20496;2.5703;1120;1500;0;0;0;0;0;0;0
2.2;16;20496;2.5703;1109;1500;0;0;0;0;0;0;0
2.3;16;20496;2.5703;1098;1500;0;0;0;0;0;0;0
2.4;16;20496;2.5703;1088;1500;0;0;0;0;0;0;0
2.5;16;20496;2.5703;1078;1500;0;0;0;0;0;0;0
2.6;16;20496;2.5703;1067;1500;0;0;0;0;0;0;0
2.7;16;20496;2.5703;1057;1500;0;0;0;0;0;0;0
2.8;16;20496;2.5703;1047;1500;0;0;0;0;0;0;0
2.9;16;20496;2.5703;1037;1500;0;0;0;0;0;0;0
3;16;20496;2.5703;1027;1500;0;0;0;0;0;0;0
3.1;16;20496;2.5703;1017;1500;0;0;0;0;0;0;0
3.2;16;20496;2.5703;1008;1500;0;0;0;0;0;0;0
3.3;16;20496;2.5703;998;1500;0;0;0;0;0;0;0
3.4;16;20496;2.5703;989;1500;0;0;0;0;0;0;0
3.5;16;20496;2.5703;979;1500;0;0;0;0;0;0;0
3.6;16;20496;2.5703;970;1500;0;0;0;0;0;0;0
3.7;16;20496;2.5703;961;1500;0;0;0;0;0;0;0
3.8;16;20496;2.5703;951;1500;0;0;0;0;0;0;0
3.9;16;20496;2.5703;942;1500;0;0;0;0;0;0;0
4;16;20496;2.5703;933;1500;0;0;0;0;0;0;0
4.1;16;20496;2.5703;927;1500;0;0;0;0;0;0;0
4.2;16;20496;2.5703;920;1500;0;0;0;0;0;0;0
4.3;16;20496;2.5703;913;1500;0;0;0;0;0;0;0
4.4;16;20496;2.5703;906;1500;0;0;0;0;0;0;0
4.5;16;20496;2.5703;900;1500;0;0;0;0;0;0;0
4.6;16;20496;2.5703;893;1500;0;0;0;0;0;0;0
4.7;16;20496;2.5703;886;1500;0;0;0;0;0;0;0
4.8;16;20496;2.5703;880;1500;0;0;0;0;0;0;0
4.9;16;20496;2.5703;873;1500;0;0;0;0;0;0;0
5;16;20496;2.5703;867;1500;0;0;0;0;0;0;0
5.1;16;20496;2.5703;861;1500;0;0;0;0;0;0;0
5.2;16;20496;2.5703;854;1500;0;0;0;0;0;0;0
5.3;16;20496;2.5703;848;1500;0;0;0;0;0;0;0
5.4;16;20496;2.5703;842;1500;0;0;0;0;0;0;0
5.5;16;20496;2.5703;836;1500;0;0;0;0;0;0;0
5.6;16;20496;2.5703;829;1500;0;0;0;0;0;0;0
5.7;16;20496;2.5703;823;1500;0;0;0;0;0;0;0
5.8;16;20496;2.5703;817;1500;0;0;0;0;0;0;0
5.9;16;20496;2.5703;811;1500;0;0;0;0;0;0;0
6;16;20496;2.5703;805;1500;0;0;0;0;0;0;0
6.1;16;20496;2.5703;799;1500;0;0;0;0;0;0;0
6.2;16;20496;2.5703;793;1500;0;0;0;0;0;0;0
6.3;16;20496;2.5703;788;1500;0;0;0;0;0;0;0
6.4;16;20496;2.5703;782;1500;0;0;0;0;0;0;0
6.5;16;20496;2.5703;776;1500;0;0;0;0;0;0;0
6.6;16;20496;2.5703;770;1500;0;0;0;0;0;0;0
6.7;16;20496;2.5703;765;1500;0;0;0;0;0;0;0
6.8;16;20496;2.5703;759;1500;0;0;0;0;0;0;0
6.9;16;20496;2.5703;753;1500;0;0;0;0;0;0;0
7;16;20496;2.5703;748;1500;0;0;0;0;0;0;0
7.1;16;20496;2.5703;736;1500;0;0;0;0;0;0;0
7.2;16;20496;2.5703;725;1500;0;0;0;0;0;0;0
7.3;16;20496;2.5703;713;1500;0;0;0;0;0;0;0
7.4;16;20496;2.5703;702;1500;0;0;0;0;0;0;0
7.5;16;20496;2.5703;691;1500;0;0;0;0;0;0;0
7.6;16;20496;2.5703;681;1500;0;0;0;0;0;0;0
7.7;16;20496;2.5703;670;1500;0;0;0;0;0;0;0
7.8;16;20496;2.5703;660;1500;0;0;0;0;0;0;0
7.9;16;20496;2.5703;649;1500;0;0;0;0;0;0;0
8;16;20496;2.5703;639;1500;0;0;0;0;0;0;0
8.1;16;20496;2.5703;629;1500;0;0;0;0;0;0;0
8.2;16;20496;2.5703;619;1500;0;0;0;0;0;0;0
8.3;16;20496;2.5703;610;1500;0;0;0;0;0;0;0
8.4;16;20496;2.5703;600;1500;0;0;0;0;0;0;0
8.5;16;20496;2.5703;591;1500;0;0;0;0;0;0;0
8.6;16;20496;2.5703;582;1500;0;0;0;0;0;0;0
8.7;16;20496;2.5703;573;1500;0;0;0;0;0;0;0
8.8;16;20496;2.5703;564;1500;0;0;0;0;0;0;0
8.9;16;20496;2.5703;555;1500;0;0;0;0;0;0;0
9;16;20496;2.5703;546;1500;0;0;0;0;0;0;0
9.1;16;20496;2.5703;538;1500;0;0;0;0;0;0;0
9.2;16;20496;2.5703;529;1500;0;0;0;0;0;0;0
9.3;16;20496;2.5703;521;1500;0;0;0;0;0;0;0
9.4;16;20496;2.5703;513;1500;0;0;0;0;0;0;0
9.5;16;20496;2.5703;505;1500;0;0;0;0;0;0;0
9.6;16;20496;2.5703;497;1500;0;0;0;0;0;0;0
9.7;16;20496;2.5703;489;1500;0;0;0;0;0;0;0
9.8;16;20496;2.5703;482;1500;0;0;0;0;0;0;0
9.9;16;20496;2.5703;474;1500;0;0;0;0;0;0;0
10;16;20496;2.5703;467;1500;0;0;0;0;0;0;0
10.1;16;20496;2.5703;449;1500;0;0;0;0;0;0;0
10.2;16;20496;2.5703;432;1500;0;0;0;0;0;0;0
10.3;16;20496;2.5703;416;1500;0;0;0;0;0;0;0
