SNR;MCS;TBS;rate;err0;trials0;err1;trials1;err2;trials2;err3;trials3;dci_err
10;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.1;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.2;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.3;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.4;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.5;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.6;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.7;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.8;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
10.9;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
11;18;21504;2.7305;1500;1500;0;0;0;0;0;0;0
11.1;18;21504;2.7305;1499;1500;0;0;0;0;0;0;0
11.2;18;21504;2.7305;1499;1500;0;0;0;0;0;0;0
11.3;18;21504;2.7305;1498;1500;0;0;0;0;0;0;0
11.4;18;21504;2.7305;1498;1500;0;0;0;0;0;0;0
11.5;18;21504;2.7305;1497;1500;0;0;0;0;0;0;0
11.6;18;21504;2.7305;1399;1500;0;0;0;0;0;0;0
11.7;18;21504;2.7305;1307;1500;0;0;0;0;0;0;0
11.8;18;21504;2.7305;1221;1500;0;0;0;0;0;0;0
11.9;18;21504;2.7305;1141;1500;0;0;0;0;0;0;0
12;18;21504;2.7305;1066;1500;0;0;0;0;0;0;0
12.1;18;21504;2.7305;788;1500;0;0;0;0;0;0;0
12.2;18;21504;2.7305;582;1500;0;0;0;0;0;0;0
12.3;18;21504;2.7305;431;1500;0;0;0;0;0;0;0
12.4;18;21504;2.7305;318;1500;0;0;0;0;0;0;0
12.5;18;21504;2.7305;235;1500;0;0;0;0;0;0;0
12.6;18;21504;2.7305;185;1500;0;0;0;0;0;0;0
12.7;18;21504;2.7305;146;1500;0;0;0;0;0;0;0
12.8;18;21504;2.7305;115;1500;0;0;0;0;0;0;0
12.9;18;21504;2.7305;90;1500;0;0;0;0;0;0;0
13;18;21504;2.7305;71;1500;0;0;0;0;0;0;0
13.1;18;21504;2.7305;50;1500;0;0;0;0;0;0;0
13.2;18;21504;2.7305;35;1500;0;0;0;0;0;0;0
13.3;18;21504;2.7305;25;1500;0;0;0;0;0;0;0
13.4;18;21504;2.7305;18;1500;0;0;0;0;0;0;0
13.5;18;21504;2.7305;12;1500;0;0;0;0;0;0;0
13.6;18;21504;2.7305;7;1500;0;0;0;0;0;0;0
13.7;18;21504;2.7305;3;1500;0;0;0;0;0;0;0
13.8;18;21504;2.7305;2;1500;0;0;0;0;0;0;0
13.9;18;21504;2.7305;1;1500;0;0;0;0;0;0;0
14;18;21504;2.7305;1;1500;0;0;0;0;0;0;0
14.1;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.2;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.3;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.4;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.5;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.6;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.7;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.8;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
14.9;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.1;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.2;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.3;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.4;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.5;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.6;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.7;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.8;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
15.9;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.1;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.2;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.3;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.4;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.5;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.6;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.7;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.8;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
16.9;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
17;18;21504;2.7305;0;1500;0;0;0;0;0;0;0
